date,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
2017-01-01,0,-3,-7,-4,-6,-8,100,89,64,1027,1025,1023,1,1,0,11,5,-,0,"Юэ , жабЉ"
2017-01-02,9,0,-9,-3,-8,-13,93,64,20,1028,1025,1024,8,3,0,18,8,-,0,Юэ
2017-01-03,9,0,-9,-3,-7,-10,93,72,27,1025,1023,1020,6,3,0,14,3,-,0,Юэ
2017-01-04,6,-2,-9,-1,-5,-10,100,81,49,1029,1026,1025,4,2,0,11,5,-,0,Юэ
2017-01-05,4,0,-4,-1,-3,-7,100,78,41,1033,1031,1029,5,2,0,14,8,-,0,"Юэ , жабЉ"
2017-01-06,6,0,-6,-2,-4,-7,93,75,38,1030,1027,1025,4,2,2,6,3,-,0,
2017-01-07,4,1,-1,1,-2,-4,100,84,44,1025,1024,1023,3,2,0,11,5,-,0.25,"жагъ , жабЉ"
2017-01-08,7,3,-1,0,-9,-13,93,43,21,1025,1022,1019,31,11,0,40,18,47,0,Юэ
2017-01-09,5,1,-4,-7,-12,-15,74,38,14,1029,1026,1023,31,20,2,32,19,50,0,
2017-01-10,4,-1,-8,-9,-17,-20,64,28,6,1032,1029,1025,31,22,6,32,18,55,0,
2017-01-11,7,-2,-11,-10,-13,-16,79,43,14,1029,1025,1022,6,4,2,35,6,55,0,
2017-01-12,7,-1,-9,-9,-12,-15,79,41,13,1024,1021,1017,26,9,3,29,11,50,0,
2017-01-13,3,-1,-4,-15,-21,-27,36,20,5,1030,1025,1021,31,30,29,43,27,61,0,
2017-01-14,3,-3,-9,-7,-19,-24,80,31,4,1037,1033,1030,31,25,14,18,10,-,0,
2017-01-15,0,-3,-7,-7,-8,-10,86,70,41,1037,1033,1030,16,10,3,14,6,32,0,жабЉ
2017-01-16,0,-2,-3,-5,-7,-8,80,69,44,1034,1032,1031,8,5,3,6,5,-,0,жабЉ
2017-01-17,3,-2,-7,-5,-7,-10,86,66,38,1034,1031,1028,6,4,2,11,5,-,0,
2017-01-18,2,-3,-8,-9,-15,-18,80,40,13,1035,1033,1030,23,10,3,21,10,-,0,
2017-01-19,-1,-4,-8,-5,-16,-25,93,44,8,1037,1031,1027,31,8,3,58,19,84,0,жабЉ
2017-01-20,0,-7,-13,-18,-21,-23,52,31,8,1037,1034,1029,31,25,8,29,14,40,0,
2017-01-21,1,-6,-12,-16,-21,-25,67,31,6,1036,1031,1027,31,23,3,43,14,61,0,
2017-01-22,0,-6,-12,-16,-20,-23,58,33,10,1037,1035,1033,29,18,6,18,10,26,0,
2017-01-23,0,-7,-14,-14,-17,-20,67,43,11,1037,1035,1033,24,10,3,14,6,-,0,
2017-01-24,3,-6,-13,-11,-14,-18,85,48,15,1039,1037,1035,8,6,3,11,5,21,0,
2017-01-25,3,-3,-10,-8,-11,-14,80,59,26,1035,1032,1027,8,5,2,6,5,-,0,
2017-01-26,9,1,-6,-6,-11,-18,86,50,10,1033,1024,1020,31,5,0,64,13,87,0,
2017-01-27,4,-3,-10,-13,-16,-18,57,32,10,1034,1030,1025,31,13,3,35,18,-,0,
2017-01-28,2,-3,-7,-6,-10,-14,86,56,29,1024,1022,1019,5,4,2,6,5,-,0,
2017-01-29,1,-2,-5,-6,-18,-24,80,30,7,1038,1030,1022,31,15,2,47,23,55,0,
2017-01-30,1,-7,-15,-21,-24,-29,56,21,4,1041,1037,1032,31,23,8,29,14,-,0,
2017-01-31,6,-1,-7,-17,-21,-24,39,21,4,1033,1029,1025,31,8,3,14,8,26,0,
2017-02-01,4,-2,-7,-16,-21,-25,49,23,4,1040,1037,1034,31,25,6,21,11,29,0,
2017-02-02,5,-3,-12,-14,-18,-22,62,34,7,1035,1030,1026,14,7,2,14,6,-,0,
2017-02-03,6,-2,-9,-8,-14,-17,63,40,12,1026,1023,1020,8,5,2,11,5,26,0,
2017-02-04,9,2,-5,-4,-8,-13,69,45,15,1021,1019,1015,31,3,0,21,5,26,0,
2017-02-05,9,2,-5,-10,-16,-19,68,24,5,1027,1022,1020,31,30,27,29,14,55,0,
2017-02-06,5,1,-3,-14,-17,-22,43,24,8,1035,1032,1028,31,26,8,21,13,-,0,
2017-02-07,2,-1,-5,-6,-9,-14,80,56,23,1033,1031,1030,14,8,3,11,5,-,0,жабЉ
2017-02-08,5,-1,-6,-7,-15,-22,80,39,8,1033,1031,1029,31,12,3,47,16,64,0,
2017-02-09,3,-1,-4,-18,-21,-25,31,22,5,1032,1029,1026,31,31,31,50,32,68,0,
2017-02-10,5,0,-4,-18,-22,-25,29,17,4,1032,1029,1027,31,29,21,43,26,61,0,
2017-02-11,9,1,-7,-14,-18,-22,46,23,6,1030,1028,1025,31,23,8,21,11,-,0,
2017-02-12,10,1,-8,-10,-13,-15,63,38,10,1028,1027,1024,7,5,3,14,5,29,0,
2017-02-13,13,3,-7,-7,-12,-16,68,38,6,1035,1031,1028,31,8,2,14,6,26,0,
2017-02-14,5,-1,-7,-3,-5,-9,93,72,44,1036,1033,1029,7,3,2,11,6,-,0,
2017-02-15,8,1,-5,-4,-6,-8,86,60,26,1028,1021,1013,4,3,2,14,8,-,0,
2017-02-16,9,4,0,-5,-11,-20,64,34,7,1030,1019,1012,31,7,2,32,16,55,0,
2017-02-17,6,0,-5,-13,-21,-27,30,17,4,1034,1030,1027,31,23,6,29,21,43,0,
2017-02-18,10,1,-7,-7,-12,-15,68,35,11,1027,1022,1014,11,7,3,18,6,-,0,
2017-02-19,15,6,-3,-4,-11,-22,75,36,4,1022,1011,1006,27,7,3,50,13,50,0,
2017-02-20,5,-1,-6,-15,-19,-22,50,21,5,1035,1031,1023,31,21,8,40,18,55,0,
2017-02-21,2,-2,-6,-3,-9,-18,93,64,13,1034,1030,1025,18,5,0,18,6,-,2.03,жабЉ
2017-02-22,7,0,-6,-2,-7,-13,93,63,17,1029,1023,1020,31,5,2,50,13,68,0,жабЉ
2017-02-23,8,1,-6,-8,-13,-16,74,31,12,1032,1028,1026,31,20,8,35,18,55,0,
2017-02-24,12,3,-5,-5,-11,-13,74,33,9,1027,1025,1022,31,17,3,32,11,58,0,
2017-02-25,14,7,0,-8,-11,-12,44,28,9,1025,1023,1019,31,27,14,26,13,43,0,
2017-02-26,13,4,-3,-6,-8,-10,74,39,13,1027,1024,1022,26,14,8,18,6,32,0,
2017-02-27,16,6,-4,-4,-7,-9,86,43,9,1024,1021,1018,13,7,3,18,6,-,0,
2017-02-28,16,9,2,-7,-11,-14,48,24,5,1021,1019,1016,31,23,6,29,13,40,0,
2017-03-01,9,3,-2,-2,-17,-23,57,19,4,1028,1024,1018,31,26,10,43,23,64,0,жагъ
2017-03-02,14,5,-4,-9,-13,-18,55,25,5,1025,1018,1013,21,12,6,18,10,29,0,
2017-03-03,14,6,-3,-3,-7,-11,74,40,12,1019,1014,1012,16,8,5,21,8,-,0,
2017-03-04,12,3,-4,-5,-8,-12,80,42,13,1020,1017,1014,10,7,3,21,5,26,0,
2017-03-05,11,6,1,-11,-13,-18,31,22,5,1026,1023,1020,31,28,23,40,18,58,0,
2017-03-06,9,2,-5,-6,-13,-19,74,32,9,1025,1021,1018,31,15,10,43,10,58,0,
2017-03-07,9,2,-4,-14,-16,-18,46,24,7,1026,1024,1021,31,31,31,43,23,61,0,
2017-03-08,14,7,-1,-12,-16,-17,24,16,4,1021,1018,1014,31,28,23,35,23,58,0,
2017-03-09,17,8,-1,-11,-15,-17,29,15,4,1016,1014,1011,31,23,10,32,16,55,0,
2017-03-10,19,8,-2,-6,-11,-15,74,24,4,1018,1016,1013,26,14,6,14,6,29,0,
2017-03-11,20,12,5,-5,-9,-13,49,23,4,1022,1018,1016,31,18,3,32,10,35,0,
2017-03-12,13,8,4,-9,-16,-24,31,16,4,1029,1026,1022,31,26,10,32,19,47,0,
2017-03-13,15,7,-2,-10,-16,-18,43,18,4,1030,1027,1023,31,27,14,14,10,-,0,
2017-03-14,17,7,-2,-6,-12,-17,55,24,4,1028,1026,1023,31,25,11,18,8,29,0,
2017-03-15,15,7,-2,-4,-7,-11,80,38,8,1028,1024,1020,18,10,6,18,6,-,0,
2017-03-16,16,8,0,-2,-4,-8,87,43,12,1021,1019,1017,10,7,3,18,8,29,0,
2017-03-17,16,11,6,2,0,-3,76,49,29,1021,1019,1017,9,5,2,18,10,-,0,
2017-03-18,19,11,3,2,-1,-7,87,47,14,1026,1023,1021,8,5,2,14,8,32,0,
2017-03-19,18,11,4,4,3,1,81,54,25,1027,1024,1021,4,3,2,18,6,-,0,
2017-03-20,13,9,6,5,2,-1,87,64,26,1027,1023,1020,8,5,2,18,6,-,0.25,жагъ
2017-03-21,14,7,1,4,-1,-8,93,55,25,1028,1024,1021,9,6,3,18,8,29,0,жагъ
2017-03-22,14,7,1,4,-1,-3,81,49,19,1021,1020,1018,8,6,2,11,6,26,0.51,жагъ
2017-03-23,10,8,6,7,3,-1,89,71,47,1027,1024,1021,8,5,0,21,8,-,2.03,жагъ
2017-03-24,6,3,1,4,2,-1,100,91,65,1025,1023,1021,10,4,2,14,6,-,5.08,"жагъ , жабЉ"
2017-03-25,14,8,1,3,-1,-8,96,58,13,1022,1021,1019,31,8,0,21,8,43,0,
2017-03-26,15,11,7,-3,-6,-8,46,31,11,1022,1021,1019,31,18,10,29,18,40,0,жагъ
2017-03-27,15,9,3,-2,-7,-11,56,30,8,1024,1022,1019,31,27,11,21,14,-,0,
2017-03-28,17,10,3,4,-1,-8,81,43,19,1022,1020,1018,14,9,5,21,10,32,0,
2017-03-29,19,11,3,5,3,1,93,60,22,1021,1019,1016,8,5,2,18,6,-,0,
2017-03-30,16,12,8,5,-1,-6,76,42,16,1029,1023,1018,11,6,2,21,10,-,0,жагъ
2017-03-31,17,10,3,1,-7,-11,54,27,7,1029,1025,1019,31,19,10,18,10,35,0,жагъ
2017-04-01,22,11,1,0,-4,-9,70,31,6,1019,1016,1012,31,17,8,21,8,40,0,
2017-04-02,24,14,4,1,-3,-7,70,35,8,1021,1018,1015,11,9,6,14,6,21,0,
2017-04-03,25,15,5,7,3,-1,81,44,13,1020,1017,1014,10,5,2,26,8,-,0,
2017-04-04,20,15,10,8,6,4,71,50,33,1016,1015,1013,19,6,2,18,8,-,0,жагъ
2017-04-05,20,16,11,10,9,7,82,64,38,1014,1012,1010,10,7,3,21,11,-,0,жагъ
2017-04-06,26,17,9,10,7,1,93,57,20,1015,1011,1008,8,5,2,26,8,-,0,
2017-04-07,17,14,12,9,6,5,77,58,38,1016,1014,1011,10,7,3,18,10,-,0,жагъ
2017-04-08,18,14,11,8,4,-4,82,50,12,1021,1017,1013,23,7,3,14,8,32,0,
2017-04-09,19,12,6,8,2,-6,93,52,18,1024,1021,1016,11,7,3,21,6,32,0,
2017-04-10,21,13,7,6,3,0,76,45,19,1016,1011,1007,11,8,6,21,8,35,0,
2017-04-11,22,14,7,6,-7,-16,76,27,4,1019,1015,1009,31,16,5,35,14,50,0,
2017-04-12,26,13,2,2,-4,-10,70,31,4,1016,1013,1009,29,15,6,21,8,43,0,
2017-04-13,20,11,3,4,-2,-9,65,35,11,1016,1010,1004,14,10,6,18,6,-,0,
2017-04-14,28,17,6,6,3,-3,87,42,7,1006,1004,1002,23,9,5,26,8,40,0,
2017-04-15,32,19,7,6,0,-8,87,32,4,1009,1007,1006,31,17,6,32,8,55,0,
2017-04-16,24,17,11,10,7,2,67,46,22,1011,1009,1006,10,5,3,18,8,35,0,
2017-04-17,26,17,9,11,5,-6,94,47,11,1007,1000,995,27,5,2,35,10,58,0,
2017-04-18,24,17,8,0,-9,-20,53,16,4,1007,1004,1000,31,21,10,55,31,76,0,
2017-04-19,16,11,7,5,2,-5,81,48,13,1012,1008,1006,23,14,10,14,6,-,0,жагъ
2017-04-20,23,13,3,7,-1,-8,93,45,5,1013,1010,1007,31,15,3,29,8,50,0,
